"estado","ga_indice","p_indice","t_indice","pc_indice","pc_metodos","pc_respuesta","pc_activacion","pc_celeridad","pg_indice","pg_mec","pg_formato","pg_actores","pg_func","pg_seg","tc_indice","tcai_indice","tcai_completitud","tcai_claridad","tcai_celeridad","tctp_indice","tctp_google","tctp_buscador","tctp_confiabilidad","tctp_comprensibilidad","tctp_interaccion","tctp_fecha_act","tg_indice","tgda_indice","tgda_accesible","tgda_digital","tgda_leg_maq","tgda_gratuito","tgda_lic_abierta","tgda_formato_abierto","tgda_oportuno","tgda_url","tgda_no_disc","tgda_integral","tgda_interaccion","tgta_indice","tgai_indice","tgai_respuesta","tgai_plazo","tgai_prorroga"
"Estado de México",0.3777058279253731,0.3161194029850746,0.43929225288059703,0.4785074626865672,0.8059701492537313,0.5522388059701493,0.20895522388059704,0.3507462686268657,0.15227272727272723,0.27272727272727276,0.15515151515151515,0.1363636363636364,0.18181818181818185,0.04545454545454548,0.2991593754477612,0.2712737988461538,0.17820512819999998,0.1961538461538461,0.4394624220461538,0.35313432835820896,0.7014925373134329,0.3656716417910447,0.16791044776119404,0.6119402985074627,0.17910447761194026,0.09701492537313436,0.5794251303880597,0.0737313432835821,0.05223880597014925,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.04477611940298508,0.08955223880597014,0.08955223880597014,0.05970149253731346,0.02985074626865673,0.08489437843283582,0.9390027366153846,0.9942736616461538,0.8284608867384615,0.9942736616461538
"Federal",0.5252233382297298,0.3626351351351351,0.6878115413648649,0.4735135135135135,0.7405405405405405,0.5405405405405406,0.22972972972972977,0.3840090089864865,0.22970149253731345,0.3880597014925374,0.20731343283582088,0.19402985074626872,0.26865671641791045,0.1044776119402985,0.5682236309054054,0.6876700153783784,0.8828828828108108,0.8203828829054054,0.35974428047297297,0.3890540540540541,0.7702702702702704,0.41891891891891897,0.18581081081081083,0.7162162162162162,0.14864864864864866,0.0945945945945946,0.8073994519594595,0.42729729729729726,0.28378378378378377,0.5405405405405407,0.5405405405405407,0.5405405405405407,0.5405405405405407,0.5405405405405407,0.20270270270270271,0.5405405405405407,0.5405405405405407,0.43243243243243246,0.01351351351351352,0.8457031884583334,0.858431769581081,0.9783435626486486,0.6961051275540541,0.900846618608108
"Guanajuato",0.5573357303384615,0.43053846153846154,0.684132999076923,0.5438461538461539,0.8369230769230769,0.676923076923077,0.2,0.4641025640461538,0.31225806451612903,0.532258064516129,0.32548387096774195,0.32258064516129037,0.33870967741935487,0.12903225806451615,0.5666010452615384,0.7206427677846154,0.6871794870461538,0.7782051280923077,0.6965436885384615,0.33553846153846156,0.676923076923077,0.24615384615384617,0.16153846153846152,0.6615384615384615,0.21538461538461537,0.05384615384615383,0.8016649530153847,0.01323076923076922,0.00769230769230769,0.01538461538461539,0.01538461538461539,0.01538461538461539,0.01538461538461539,0.01538461538461539,0,0.01538461538461539,0.01538461538461539,0.01538461538461539,0.01538461538461539,0.9266388261384616,0.8705837135076923,0.9516619425692308,0.9513215291384616,0.7087676684461538
"Guerrero",0.4369770993939394,0.3243939393939394,0.5495602593181819,0.4866666666666667,0.8272727272727273,0.5303030303030303,0.19696969696969693,0.39520202018181816,0.14758064516129032,0.25806451612903225,0.12258064516129034,0.1129032258064516,0.1935483870967742,0.04838709677419355,0.4597729597121212,0.6594195793939394,0.8030303029545455,0.8598484848939394,0.31537995034848487,0.16030303030303028,0.34848484848484845,0.13636363636363638,0.10984848484848483,0.30303030303030304,0.06060606060606065,0,0.6393475589848485,0,0,0,0,0,0,0,0,0,0,0,0,0.6658422023939394,0.7326581637727273,0.8350347000454545,0.538526642560606,0.8244131486818181
"Hidalgo",0.485574187983871,0.3307258064516129,0.640422569483871,0.45370967741935486,0.7387096774193549,0.4838709677419355,0.27419354838709675,0.32123655909677423,0.19053571428571428,0.3571428571428571,0.2067857142857143,0.28571428571428575,0.1785714285714286,0.05357142857142857,0.5383217511935484,0.7051599078870968,0.9462365590806452,0.8655913977258065,0.3036517668548387,0.2880645161290323,0.5161290322580645,0.2016129032258064,0.13709677419354838,0.4193548387096774,0.2419354838709677,0.20967741935483872,0.7425233881935484,0.07016129032258063,0.04838709677419355,0.08064516129032258,0.08064516129032258,0.08064516129032258,0.08064516129032258,0.08064516129032258,0.01612903225806452,0.08064516129032258,0.08064516129032258,0.06451612903225809,0.08064516129032258,0.7803605312903226,0.8356651660645161,0.9419539673387096,0.6315983742903226,0.9334431570483872
"Jalisco",0.4514012561147541,0.304672131147541,0.5981303809508197,0.48098360655737704,0.7704918032786885,0.5573770491803278,0.21311475409836064,0.3838797813934426,0.11327272727272727,0.21818181818181817,0.15090909090909094,0.16363636363636366,0.09090909090909093,0.03636363636363635,0.5324028058852459,0.700015605442623,0.822404371557377,0.6707650273442622,0.6068774173770491,0.28098360655737703,0.5737704918032787,0.2786885245901639,0.11065573770491804,0.5573770491803278,0.09836065573770492,0.06557377049180328,0.6638579562295082,0.06836065573770493,0.04918032786885243,0.08196721311475406,0.08196721311475406,0.08196721311475406,0.08196721311475406,0.08196721311475406,0.03278688524590163,0.08196721311475406,0.08196721311475406,0.04918032786885245,0.04918032786885245,0.42205335084210527,0.8978476237704918,0.9112541667540984,0.8943551309836065,0.8879335735245901
"Michoacán",0.46541456372307694,0.31423076923076926,0.6165983582153847,0.4329230769230769,0.7384615384615385,0.4769230769230769,0.21538461538461537,0.30128205124615387,0.16885245901639342,0.3278688524590164,0.17885245901639346,0.1639344262295082,0.18032786885245905,0.04918032786885243,0.5010870754307692,0.6915553821230769,0.8628205127538462,0.9051282051692308,0.30671742852307693,0.2153846153846154,0.46153846153846145,0.23846153846153845,0.13461538461538464,0.3538461538461538,0.0923076923076923,0.00769230769230769,0.732109641,0,0,0,0,0,0,0,0,0,0,0,0,0.8003455368461538,0.8200099666307692,0.938218688676923,0.5929122273692308,0.9288989836
"Morelos",0.4452117246567164,0.3111194029850746,0.5793040462686567,0.41119402985074627,0.817910447761194,0.3880597014925373,0.1791044776119403,0.26243781091044777,0.2135483870967742,0.3870967741935484,0.1703225806451613,0.2741935483870967,0.25806451612903225,0.04838709677419357,0.5211158608358208,0.684347330119403,0.8283582089104478,0.8277363184328358,0.39694746297014927,0.2762686567164179,0.5970149253731343,0.20895522388059704,0.16791044776119404,0.47761194029850745,0.16417910447761191,0.03731343283582089,0.6374922319104478,0,0,0,0,0,0,0,0,0,0,0,0,0.6058746144776119,0.7595497459701492,0.826213553761194,0.768530551,0.6839051329402985
"Nayarit",0.442740788625,0.293984375,0.591497202203125,0.459375,0.759375,0.5,0.1875,0.3906249999843749,0.12859375000000003,0.265625,0.12890625000000003,0.109375,0.15625,0.015625,0.496879437234375,0.6717535445555556,0.828042327984127,0.839947089952381,0.3472712157936508,0.2503125,0.53125,0.1796875,0.1171875,0.46875,0.171875,0.03125,0.686114967140625,0.02421875000000001,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.015625,0.015625,0.03125,0.015625,0,0.785845588203125,0.7584159418253968,0.836535891063492,0.6180658156825397,0.8206461188095238
"Nuevo León",0.4705172961029412,0.3341176470588235,0.606916945,0.47,0.7852941176470588,0.5588235294117647,0.1764705882352941,0.36151960782352943,0.195,0.359375,0.211875,0.171875,0.21875,0.0625,0.504210067132353,0.7079560144615384,0.8192307691692308,0.7705128205384615,0.5341244536,0.2361764705882353,0.5294117647058824,0.25,0.10661764705882353,0.411764705882353,0.08823529411764706,0.02941176470588235,0.7096238230588235,0.11676470588235296,0.0955882352941176,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.13235294117647056,0,0.630079329140625,0.9067409448153846,0.9356387240923076,0.8998932821384615,0.8846908281692307
"Oaxaca",0.3946950087258065,0.27338709677419354,0.5160029206290323,0.3954838709677419,0.6838709677419356,0.3870967741935483,0.20967741935483872,0.30241935482258064,0.14229508196721313,0.2786885245901639,0.13,0.09836065573770487,0.18032786885245905,0.03278688524590163,0.45641191596774194,0.5925557046065574,0.6762295081967213,0.6816939890655739,0.4197436167213115,0.2604838709677419,0.5,0.2661290322580645,0.125,0.46774193548387094,0.17741935483870963,0.02419354838709678,0.5755939253387097,0.02354838709677418,0.03225806451612905,0.03225806451612905,0.03225806451612905,0.03225806451612905,0.03225806451612905,0.03225806451612905,0,0.03225806451612905,0.03225806451612905,0,0,0.5611737996885247,0.690473848,0.7001202487213115,0.6780093030491803,0.6932919921967212
"Puebla",0.5108466031076923,0.39084615384615384,0.6308470524461538,0.4706153846153846,0.7538461538461538,0.5230769230769231,0.21538461538461537,0.3923076922923077,0.31672131147540983,0.5409836065573771,0.2922950819672131,0.31147540983606553,0.4098360655737705,0.08196721311475412,0.5507892944461539,0.686597542076923,0.9102564102,0.8717948718615385,0.2777413441846154,0.34707692307692306,0.6307692307692307,0.2692307692307693,0.18076923076923077,0.5846153846153845,0.3230769230769231,0.0923076923076923,0.7109048104615384,0.03907692307692309,0.03076923076923079,0.04615384615384612,0.04615384615384612,0.04615384615384612,0.04615384615384612,0.04615384615384612,0.0307692307692308,0.04615384615384612,0.04615384615384612,0.0153846153846154,0.03076923076923079,0.8301339198412698,0.7760328613846154,0.9256559060307692,0.5423368112615384,0.8601058669692307
"Querétaro",0.48894159475,0.37616666666666665,0.6017165228666667,0.5598333333333333,0.8166666666666667,0.65,0.21666666666666665,0.5569444444333334,0.17857142857142858,0.33928571428571425,0.20642857142857143,0.25,0.16071428571428573,0.05357142857142857,0.5328679259333333,0.6665576542833334,0.86111111105,0.8194444444,0.31911740681666667,0.3323333333333333,0.6333333333333333,0.2666666666666667,0.20000000000000004,0.5833333333333333,0.23333333333333328,0.07500000000000001,0.6705651198333333,0.01216666666666667,0.01666666666666666,0.01666666666666666,0.01666666666666666,0.01666666666666666,0.01666666666666666,0.01666666666666666,0,0.01666666666666666,0.01666666666666666,0,0,0.7284759359499999,0.7513427871833334,0.8552781681,0.5884949347333334,0.8102552588833333
"Quintana Roo",0.5355661994509804,0.3652941176470588,0.7058382811568628,0.4437254901960784,0.7215686274509804,0.4705882352941176,0.23529411764705876,0.3480392156666666,0.26973684210526316,0.4736842105263158,0.2694736842105263,0.21052631578947367,0.2894736842105263,0.13157894736842107,0.591855497,0.7664258282941177,0.8725490195490196,0.8700980392549019,0.5566304261372549,0.33,0.588235294117647,0.33333333333333337,0.19607843137254904,0.6078431372549019,0.2352941176470588,0.01960784313725491,0.8198210653529412,0.06862745098039218,0.06862745098039218,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0,0.0980392156862745,0.0980392156862745,0,0,0.9178378259019608,0.8960116209411765,0.9320151137843136,0.8628405098039216,0.8931792393137254
"San Luis Potosí",0.3843038035522388,0.27044776119402986,0.4981598458955224,0.3780597014925373,0.6507462686567165,0.373134328358209,0.17910447761194023,0.3109452736268657,0.16283582089552237,0.2686567164179105,0.17253731343283582,0.05970149253731345,0.23880597014925373,0.04477611940298506,0.4844527132985075,0.6186649700149254,0.7176616915223881,0.7176616916119403,0.4206715268955224,0.2831343283582089,0.537313432835821,0.22388059701492535,0.167910447761194,0.5074626865671641,0.23880597014925375,0.02238805970149254,0.5118669784626866,0.2198507462686567,0.22388059701492535,0.28358208955223885,0.28358208955223885,0.28358208955223885,0.28358208955223885,0.28358208955223885,0.08955223880597013,0.28358208955223885,0.28358208955223885,0,0.11940298507462692,0.18135198135384617,0.728500595,0.7517918133880597,0.7187371518507463,0.7149728197910448
"Sinaloa",0.5120688567272728,0.346,0.6781377134363636,0.452,0.7163636363636364,0.4727272727272728,0.3090909090909091,0.3090909090727273,0.2126530612244898,0.44897959183673464,0.2630612244897959,0.22448979591836732,0.20408163265306123,0.04081632653061222,0.5615997088363637,0.7576964843454546,0.8636363635454546,0.8636363636545454,0.5458167258909091,0.26745454545454544,0.5454545454545455,0.2272727272727273,0.14090909090909093,0.4545454545454545,0.2,0.03636363636363635,0.7946757182,0.10509090909090904,0.1181818181818182,0.14545454545454542,0.14545454545454542,0.14545454545454542,0.14545454545454542,0.14545454545454542,0.03636363636363635,0.12727272727272732,0.14545454545454542,0,0,0.8144657974363636,0.89971148,0.924065163290909,0.8929457561636364,0.8821235206727273
"Sonora",0.48034653165151514,0.3278787878787879,0.6328142753484849,0.4407575757575758,0.7878787878787878,0.43939393939393934,0.2272727272727273,0.3106060605909091,0.20774193548387096,0.3870967741935483,0.2185483870967742,0.20967741935483877,0.27419354838709675,0.01612903225806452,0.5455167831515152,0.7003057497575758,0.8118686867727273,0.8636363636818182,0.42541219874242425,0.31333333333333335,0.5454545454545454,0.31060606060606066,0.15151515151515152,0.5454545454545454,0.2727272727272727,0.05303030303030304,0.7201117675909091,0.076969696969697,0.06060606060606064,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.09090909090909093,0,0.09090909090909093,0.09090909090909093,0.07575757575757577,0.07575757575757577,0.7072057473333333,0.8337551227424242,0.8458378178636363,0.809589732469697,0.8458378178636363
"Tabasco",0.48216255712727274,0.3240909090909091,0.6402342050181818,0.43327272727272725,0.7890909090909091,0.4909090909090909,0.12727272727272732,0.3287878787454545,0.21666666666666667,0.4705882352941176,0.1943137254901961,0.27450980392156865,0.19607843137254904,0.05882352941176469,0.4993746182363637,0.6095031516,0.8787878787272727,0.609848484890909,0.33987309105454544,0.3341818181818182,0.6363636363636364,0.3,0.1772727272727273,0.5636363636363636,0.27272727272727276,0.05454545454545454,0.7810937918363636,0.01399999999999999,0.00909090909090908,0.01818181818181817,0.01818181818181817,0.01818181818181817,0.01818181818181817,0.01818181818181817,0.01818181818181817,0.01818181818181817,0.01818181818181817,0,0,0.8930176508545454,0.8529808276727273,0.8935197806181818,0.7901825719090909,0.8752401304
"Tamaulipas",0.4364830683125,0.3228125,0.550153636640625,0.4109375,0.7375,0.484375,0.09375,0.329427083296875,0.1926923076923077,0.326923076923077,0.21,0.19230769230769232,0.2692307692307693,0.01923076923076923,0.47284459625,0.6032272623709678,0.7365591397580645,0.809139785,0.2639828624193548,0.29875,0.609375,0.2421875,0.15234375,0.546875,0.21875,0.0234375,0.627462677046875,0.23390625,0.1875,0.265625,0.265625,0.265625,0.265625,0.265625,0,0.265625,0.265625,0.265625,0.265625,0.6526735391904762,0.7076634794193548,0.8093409393709677,0.5251549890483871,0.788494510032258
"Tlaxcala",0.4372044866935484,0.27903225806451615,0.5953767152419355,0.43387096774193545,0.6903225806451613,0.4516129032258064,0.2903225806451613,0.3051075268548387,0.12419354838709676,0.2741935483870967,0.14387096774193547,0.11290322580645162,0.12903225806451615,0.01612903225806452,0.48941002348387097,0.6829952005,0.8212365590645161,0.873655914,0.3540931283064516,0.1990322580645161,0.4516129032258064,0.14516129032258063,0.09274193548387095,0.33870967741935487,0.14516129032258068,0.02419354838709678,0.7013434069677419,0.02709677419354838,0.02419354838709678,0.03225806451612904,0.03225806451612904,0.03225806451612904,0.03225806451612904,0.03225806451612904,0.01612903225806452,0.01612903225806452,0.03225806451612904,0.01612903225806452,0.03225806451612904,0.7063111652419355,0.8112339667741936,0.8585767355967742,0.7672645377903226,0.8078606267741936
"Veracruz",0.4432230462753623,0.3084782608695652,0.5779678317391305,0.3739130434782609,0.655072463768116,0.391304347826087,0.17391304347826092,0.2753623188115942,0.2411111111111111,0.42857142857142855,0.2465079365079365,0.2063492063492063,0.30158730158730157,0.06349206349206349,0.5043672712463768,0.6655060129253731,0.7736318407611941,0.7848258706417911,0.43806032735820893,0.2815942028985507,0.4927536231884058,0.2898550724637682,0.12318840579710146,0.5217391304347826,0.21739130434782605,0.04347826086956524,0.651568392173913,0.02173913043478261,0.02173913043478261,0.0289855072463768,0.0289855072463768,0.0289855072463768,0.0289855072463768,0.0289855072463768,0,0.0289855072463768,0.0289855072463768,0.01449275362318842,0,0.6992595295468751,0.7806576142985074,0.8090095094179105,0.772754118119403,0.7602092153283582
"Yucatán",0.40017884186567165,0.24276119402985075,0.5575964896268657,0.3688059701492537,0.7313432835820896,0.3880597014925374,0.11940298507462688,0.2388059701044776,0.08087719298245614,0.14035087719298245,0.08701754385964913,0.07017543859649122,0.087719298245614,0.0350877192982456,0.49781186219402984,0.6600368986190476,0.7962962962380953,0.7301587301904762,0.4536556693809523,0.3135820895522388,0.5970149253731343,0.23880597014925373,0.1865671641791045,0.4776119402985074,0.2686567164179105,0.11194029850746268,0.6173811170597014,0,0,0,0,0,0,0,0,0,0,0,0,0.6008252519375,0.7891187830793651,0.8253174337460317,0.755988680968254,0.7860502348253968
"Zacatecas",0.48078677240625,0.363515625,0.59805791984375,0.4271875,0.75625,0.453125,0.1875,0.31380208331250004,0.27040000000000003,0.52,0.3104,0.31999999999999995,0.3,0.03999999999999999,0.509647389125,0.676287315171875,0.856770833265625,0.899088541703125,0.273002570484375,0.2596875,0.53125,0.1796875,0.12109375,0.4375,0.265625,0.0234375,0.68646845053125,0.010625,0.0078125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0,0.015625,0,0,0.7811677733125,0.751759364234375,0.86445419428125,0.562914384328125,0.8279095141875
