"id","tipo","estado","so","ga_indice","p_indice","t_indice","pc_indice","pc_metodos","pc_respuesta","pc_activacion","pc_celeridad","pg_indice","pg_mec","pg_formato","pg_actores","pg_func","pg_seg","tc_indice","tcai_indice","tcai_completitud","tcai_claridad","tcai_celeridad","tctp_indice","tctp_google","tctp_buscador","tctp_confiabilidad","tctp_comprensibilidad","tctp_interaccion","tctp_fecha_act","tg_indice","tgda_indice","tgda_accesible","tgda_digital","tgda_leg_maq","tgda_gratuito","tgda_lic_abierta","tgda_formato_abierto","tgda_oportuno","tgda_url","tgda_no_disc","tgda_integral","tgda_interaccion","tgta_indice","tgai_indice","tgai_respuesta","tgai_plazo","tgai_prorroga"
1287,"Municipio","Oaxaca","Oaxaca de Juárez",0.56158177,0.425,0.69816354,0.25,1,0,0,0,0.6,1,1,0,1,0,0.511767196,0.852945326,1,1,0.558835979,0,0,0,0,0,0,0,0.884559885,0,0,0,0,0,0,0,0,0,0,0,0,0.96969697,0.989417989,0.993650794,0.980952381,0.993650794
1288,"Municipio","Oaxaca","Salina Cruz",0.478925904,0.475,0.482851808,0.95,0.8,1,1,1,0,0,0,0,0,0,0.438050314,0.730083857,0.833333333,1,0.356918239,0,0,0,0,0,0,0,0.527653302,0,0,0,0,0,0,0,0,0,0,0,0,0.34375,0.70754717,0.716981132,0.688679245,0.716981132
1289,"Municipio","Oaxaca","San Juan Bautista Tuxtepec",0.622214347,0.425,0.819428694,0.62,1,1,0,0.5,0.23,1,0.33,0,0,0,0.790790378,0.817983963,1,1,0.45395189,0.75,1,1,0.5,1,1,0,0.84806701,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.975945017,0.989690722,0.948453608,0.989690722
1290,"Municipio","Oaxaca","San Juan Petlapa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,"Municipio","Oaxaca","San Juan Quiotepec",0.0125,0.025,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,"Municipio","Oaxaca","San Juan Tepeuxila",0.05,0.1,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,"Municipio","Oaxaca","San Miguel Tlacamama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,"Municipio","Oaxaca","San Pedro Mártir Quiechapa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,"Municipio","Oaxaca","Santa Cruz Xoxocotlán",0.51121875,0.375,0.6474375,0.75,1,1,0,1,0,0,0,0,0,0,0.537583333,0.782638889,1,0.75,0.597916667,0.17,1,0,0,0,0,0,0.757291667,0,0,0,0,0,0,0,0,0,0,0,0,0.59375,0.965277778,0.96875,0.96875,0.958333333
1296,"Municipio","Oaxaca","Santiago Tenango",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,"Municipio","Oaxaca","Tlacotepec Plumas",0.025,0.05,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,"Partido","Oaxaca","Partido Revolucionario Institucional",0.535611111,0.325,0.746222222,0.65,0.6,1,0,1,0,0,0,0,0,0,0.622444444,0.730740741,0.666666667,0.916666667,0.608888889,0.46,1,0.5,0.25,1,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,1,1,1
1299,"Partido","Oaxaca","Partido Acción Nacional",0.1,0.075,0.125,0.15,0.6,0,0,0,0,0,0,0,0,0,0.25,NA,NA,NA,NA,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1300,"Partido","Oaxaca","Movimiento Regeneración Nacional",0.302037037,0.1,0.504074074,0.2,0.8,0,0,0,0,0,0,0,0,0,0.469259259,0.782098765,0.833333333,1,0.512962963,0,0,0,0,0,0,0,0.538888889,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.842592593,0.861111111,0.805555556,0.861111111
1302,"Descentralizado","Puebla","Instituto Estatal de Educación para Adultos",0.494407407,0.31,0.678814815,0.62,1,1,0,0.5,0,0,0,0,0,0,0.59837037,0.717283951,1,1,0.151851852,0.42,1,0.5,0,1,0,0,0.759259259,0,0,0,0,0,0,0,0,0,0,0,0,1,0.765432099,0.962962963,0.37037037,0.962962963
1303,"Descentralizado","Puebla","Secretaría Ejecutiva del Sistema Estatal Anticorrupción",0.809045139,0.915,0.703090278,1,1,1,1,1,0.83,1,0.33,0,1,1,0.522962963,0.871604938,1,1,0.614814815,0,0,0,0,0,0,0,0.883217593,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0.987654321,1,0.962962963,1
1304,"Descentralizado","Puebla","Instituto Poblano del Deporte",0.388729649,0.125,0.652459299,0.25,1,0,0,0,0,0,0,0,0,0,0.742262626,0.71043771,1,1,0.131313131,0.79,1,0.5,0.25,1,1,1,0.562655971,0,0,0,0,0,0,0,0,0,0,0,0,0.441176471,0.717171717,1,0.212121212,0.939393939
1305,"Descentralizado","Puebla","Comisión Estatal de Agua y Saneamiento del Estado de Puebla",0.645933063,0.7,0.591866126,0.7,0.8,1,0,1,NA,NA,NA,NA,NA,NA,0.46,0.766666667,1,1,0.3,0,0,0,0,0,0,0,0.723732252,0,0,0,0,0,0,0,0,0,0,0,0,0.941176471,0.735632184,0.942528736,0.494252874,0.770114943
1306,"Descentralizado","Puebla","Centro de Conciliación Laboral del Estado de Puebla",0.499362745,0.35,0.64872549,0.7,0.8,1,0,1,0,0,0,0,0,0,0.488627451,0.814379085,1,1,0.443137255,0,0,0,0,0,0,0,0.808823529,0,0,0,0,0,0,0,0,0,0,0,0,0.970588235,0.862745098,0.970588235,0.647058824,0.970588235
1307,"Descentralizado","Puebla","Instituto de la Juventud",0.638990196,0.61,0.667980392,0.62,1,1,0,0.5,0.6,1,1,0,1,0,0.580078431,0.660130719,0.833333333,1,0.147058824,0.46,0,0.5,0.25,1,1,0,0.755882353,0,0,0,0,0,0,0,0,0,0,0,0,0.970588235,0.774509804,1,0.352941176,0.970588235
